id,time,numPubs,sumJaccard,sumAdamic,sumInstituteSim,sumClusteringCoef,sumSimMesh,sumCommonFriend,sumCoauthor,dead
abe_t_10096005_4,3,9,0.443043,2.800338,1.000000,1.730110,0.023106,8.000000,30.555556,0
abe_t_10096005_4,4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
abe_t_10096005_4,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
abe_t_4744405_1,0,6,0.391667,1.776321,1.000000,1.413939,0.035313,2.800000,10.400000,0
abe_t_4744405_1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
abe_t_4744405_1,2,7,0.623315,2.776808,1.000000,1.813982,0.050548,6.000000,21.000000,0
abe_t_4744405_1,3,18,0.292844,2.708538,0.604167,1.193468,0.029818,5.750000,26.125000,0
abe_t_4744405_1,4,22,0.267499,2.883417,1.000000,0.964022,0.016787,7.523810,43.714286,0
abe_t_4744405_1,5,6,0.535714,2.362374,1.000000,1.710623,0.058933,5.000000,14.833333,0
abe_t_4744405_1,6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
abe_t_4744405_1,7,6,0.502802,2.288174,1.000000,1.655837,0.033360,5.000000,18.833333,0
abe_t_4744405_1,8,3,0.500000,1.820478,1.000000,2.000000,0.041667,2.000000,6.000000,1
abe_t_5625534_2,0,5,0.400000,1.731234,1.000000,1.400000,0.031868,2.400000,8.400000,0
abe_t_5625534_2,1,16,0.536797,2.365457,0.869444,1.640741,0.022078,4.000000,11.666667,0
abe_t_5625534_2,2,7,0.480000,2.090876,1.000000,1.637778,0.039216,3.200000,10.000000,0
abe_t_5625534_2,3,7,0.428571,2.153940,1.000000,1.533333,0.041667,3.000000,10.000000,0
abe_t_5625534_2,4,31,0.167803,2.122277,0.950980,1.093791,0.015618,3.058824,21.352941,0
abe_t_5625534_2,5,28,0.321467,2.736796,0.894444,1.165272,0.021028,5.466667,23.066667,0
abe_t_5625534_2,6,43,0.205682,3.049856,0.691667,1.044390,0.010301,6.933333,40.700000,0
abe_t_5625534_2,7,51,0.287860,3.300936,1.000000,1.190813,0.014430,7.217391,32.391304,1
abraham_c_6136967_2,0,4,0.600000,2.164042,1.000000,2.000000,0.066667,3.000000,8.000000,0
abraham_c_6136967_2,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
abraham_c_6136967_2,2,6,0.420168,1.903073,0.833333,1.420635,0.044643,3.333333,12.000000,0
abraham_c_6136967_2,3,15,0.202973,1.964438,1.000000,0.935302,0.022155,4.000000,24.933333,0
abraham_c_6136967_2,4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
abraham_c_6136967_2,5,5,0.400000,1.731234,1.000000,1.533333,0.032571,2.400000,9.400000,0
abraham_c_6136967_2,6,14,0.294911,2.087759,1.000000,1.192487,0.022777,4.000000,19.400000,0
abraham_c_6136967_2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
abraham_c_6136967_2,8,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
abraham_c_6136967_2,9,8,0.690044,3.164431,1.000000,1.834343,0.050169,7.000000,17.625000,0
